website_url;cookie_name;value;domain;path;expires;size;httpOnly;secure;session;sameSite;priority;sameParty;sourceScheme;sourcePort
https://wikipedia.org;WMF-Last-Access;21-Feb-2026;wikipedia.org;/;1774440669.649768;26;True;True;False;;Medium;False;Secure;443
https://wikipedia.org;WMF-Last-Access-Global;21-Feb-2026;.wikipedia.org;/;1774440669.650038;33;True;True;False;;Medium;False;Secure;443
https://wikipedia.org;GeoIP;DE:BY:Munich:48.19:11.48:v4;.wikipedia.org;/;-1;32;False;True;True;;Medium;False;Secure;443
https://wikipedia.org;NetworkProbeLimit;0.001;wikipedia.org;/;1771705143.650135;22;False;True;False;None;Medium;False;Secure;443
https://wikipedia.org;WMF-Last-Access;21-Feb-2026;www.wikipedia.org;/;1774508911.822234;26;True;True;False;;Medium;False;Secure;443
https://wikipedia.org;NetworkProbeLimit;0.001;www.wikipedia.org;/;1771705143.822298;22;False;True;False;None;Medium;False;Secure;443
https://wikipedia.org;WMF-Uniq;U-Qy93IO6L4WNJfIVT1vhAMOAAEBAFvdWoTK72MiVUDCeA8htWFiZ7n321FpvAJp;.wikipedia.org;/;1803236911.822332;72;True;True;False;None;Medium;False;Secure;443
https://google.com;SOCS;CAAaBgiA6-PMBg;.google.com;/;1805829543.96239;18;False;True;False;Lax;Medium;False;Secure;443
https://google.com;AEC;AaJma5uiD4zHCtN3fe2ffFnJesXJp0LR8zTLiYaYC7WGglCNDsizLrE16Ls;.google.com;/;1787253543.962471;62;True;True;False;Lax;Medium;False;Secure;443
https://google.com;__Secure-BUCKET;COMF;.google.com;/;1787253543.962563;19;True;True;False;;Medium;False;Secure;443
https://google.com;__Secure-ENID;31.SE=PDX3qlpUCE7NRFarss24FxO3IgRql1PeB_CU9dvFbiUg82PAYABycHKRYR-wkjfrw8oqu15ty_zg21y04q71AnKjmAdHpLuLyLQeZ4tr7dKMevJ8KEWy67m73lJsXRfON03_TF2ol86tx0HDC8k99BG6xz1OZqk1XaJOrbkd2BptMVMvKyXAL8wSESvCHf3GCifG0zCwhCebFT83plojfy_0go-EFw;.google.com;/;1805888241.779014;241;True;True;False;Lax;Medium;False;Secure;443
https://icloud.com;x-apple-group;false;www.icloud.com;/;-1;18;True;True;True;;Medium;False;Secure;443
https://github.com;_gh_sess;Sg4omMbHlH34fVQv8w2eV3ADXO3KLvFMiS7WKEiLMmI6ONlJ5PkqUIF%2FNW2%2BP4pbRG8wKv1GDfsCfZ68E0sanQ0GrO1VVO1SQj8b7CllR8TCsnwtyDvXj9npXy5jPq32CU74WnKdt3quHcluc3yPgMlOk3NvbczIR3y3EhIVokNUD%2F4vnpbwLSyHhexgkS2vIBc%2FBQSLUQA%2BIESAFnYeifTIW%2FlZdMp%2Bnaz98F6agdonJo1A7W2kNCo3iPoa5%2FkUOVwWh36VSofH6CpqsPe2xA%3D%3D--uq3twIc1UpOfScAK--lhWScDoVt7yX10%2FX8hUaGw%3D%3D;github.com;/;-1;358;True;True;True;Lax;Medium;False;Secure;443
https://github.com;_octo;GH1.1.31809463.1771701544;.github.com;/;1803237548.734504;30;False;True;False;Lax;Medium;False;Secure;443
https://github.com;logged_in;no;.github.com;/;1803237548.734583;11;True;True;False;Lax;Medium;False;Secure;443
https://github.com;cpu_bucket;xlg;.github.com;/;-1;13;False;True;True;Lax;Medium;False;Secure;443
https://github.com;preferred_color_mode;light;.github.com;/;-1;25;False;True;True;Lax;Medium;False;Secure;443
https://github.com;tz;Europe%2FBerlin;.github.com;/;-1;17;False;True;True;Lax;Medium;False;Secure;443
https://ntp.org;_ga;GA1.1.518097280.1771701558;.ntp.org;/;1806261558.121777;29;False;False;False;;Medium;False;Secure;443
https://ntp.org;_ga_K07ZJQFYSZ;GS2.1.s1771701558$o1$g0$t1771701558$j60$l0$h0;.ntp.org;/;1806261558.288865;59;False;False;False;;Medium;False;Secure;443
https://instagram.com;csrftoken;pXo5SatrVxrAkLq_-eDL8s;.instagram.com;/;1806261544.431297;31;False;True;False;None;Medium;False;Secure;443
https://netflix.com;nfvdid;BQFmAAEBEGn0NoM_ssJ44cQUfLqDdOdAm-Amm-TNTQ4-4ZvXd-XS_ErxHxnjRKTfzAoyyu7wZbjE1wyr4kvrU9252G4uJerz3qNXBOmc601VZDggT_5L2w%3D%3D;.netflix.com;/;1803237549.89453;130;False;False;False;;Medium;False;Secure;443
https://netflix.com;SecureNetflixId;v%3D3%26mac%3DAQEAEQABABS1mvg0l1x3X-tmdEaYRBZBVVTTn4qdk58.%26dt%3D1771701550337;.netflix.com;/;1803237549.894662;94;True;True;False;Strict;Medium;False;Secure;443
https://netflix.com;NetflixId;v%3D3%26ct%3DBgjHlOvcAxLAAbwThKD-vY7xnbZCWvRmirFkWTJ5A3G0TWYOZdyAuvJqBqrQb9uu4E03Px74RNk6cdQNkZ2Ah0rLPw0vNhv4AeAohzGLyQarChwMRkNQa6lSAqUGmvQMFNmQ1SRbq_L899Xd4NkVgJuLkSdTDss5gU_qoIkffuoPI2WEjWnDN3XZhL0JtsA7BwaJ_qrUFDoNxT_oeEYmdTw6s6cKtv1z_G71TGYat3vBdMvlVw3h_CWkiZaXCM5TZcRqaOWlN-wWwBgGIg4KDH0DLpO2PeE8bAG0NA..;.netflix.com;/;1803237549.894781;318;True;True;False;Lax;Medium;False;Secure;443
https://netflix.com;flwssn;f61bc2b7-1f93-48f2-a520-626d57627a66;.netflix.com;/;1771712358.162504;42;False;False;False;;Medium;False;Secure;443
https://netflix.com;OptanonConsent;isGpcEnabled=0&datestamp=Sat+Feb+21+2026+20%3A19%3A24+GMT%2B0100+(Central+European+Standard+Time)&version=202601.1.0&browserGpcFlag=0&isIABGlobal=false&hosts=&consentId=ffc3e9e0-9bb1-400d-b7f6-3c1f91cbf220&interactionCount=0&isAnonUser=1&landingPath=https%3A%2F%2Fwww.netflix.com%2Fde-en%2F&groups=C0001%3A1%2CC0002%3A1%2CC0003%3A0%2CC0004%3A0;.netflix.com;/;1803237564;357;False;False;False;Lax;Medium;False;Secure;443
https://windows.net;ai_user;64kp4FCUrRI41JEvK4/sDq|2026-02-21T19:19:45.663Z;dotnet.microsoft.com;/;1803237585.661101;54;False;True;False;None;Medium;False;Secure;443
https://windows.net;MicrosoftApplicationsTelemetryDeviceId;b3d38bd4-bad0-4c1e-bbd9-c3ca33fe1708;dotnet.microsoft.com;/;1803237586.124303;74;False;True;False;None;Medium;False;Secure;443
https://windows.net;ai_session;fmOEZ0jOgIDWK5ovdsBAar|1771701585993|1771701586177;dotnet.microsoft.com;/;1771703386;60;False;True;False;None;Medium;False;Secure;443
https://windows.net;MC1;GUID=8d1d3e68a124445191310bdc20e9a3c2&HASH=8d1d&LV=202602&V=4&LU=1771701588512;.microsoft.com;/;1803237587.692566;81;False;True;False;None;Medium;False;Secure;443
https://windows.net;MS0;13cab7f3ec8842f9b6dbaad7cb1e9ec5;.microsoft.com;/;1771703387.692669;35;False;True;False;None;Medium;False;Secure;443
https://windows.net;MSFPC;GUID=8d1d3e68a124445191310bdc20e9a3c2&HASH=8d1d&LV=202602&V=4&LU=1771701588512;dotnet.microsoft.com;/;1803237587.697403;83;False;True;False;None;Medium;False;Secure;443
https://twitter.com;guest_id;v1%3A177170154471400468;.twitter.com;/;1805915943.933289;31;False;True;False;None;Medium;False;Secure;443
https://twitter.com;__cf_bm;jRxHrXbEwn0QM3ETknl3FwjLBsjfp.Clve3zQDEOQKE-1771701544.6468797-1.0.1.1-Ky0WotwErUS9bKWI_h3Wxu16eZT2Ykq6mcwyuzXOPXgOQ5JRfV1ub0Y.EhaRDSzmjRKzDH8Gwa2yGOm3hz_Nm1ZjT3yWj6UBviCPQzHw029ohlGRzbIdx7FsLmbw3XpN;.twitter.com;/;1771703343.93339;206;True;True;False;;Medium;False;Secure;443
https://twitter.com;guest_id;v1%3A177170154522354217;.x.com;/;1805915944.479411;31;False;True;False;None;Medium;False;Secure;443
https://twitter.com;gt;2025289188644426116;.x.com;/;1771710544.596436;21;False;True;False;;Medium;False;Secure;443
https://twitter.com;__cuid;6ca84e58e69347bdad8de9249b7ecd9e;.x.com;/;1806257957;38;False;False;False;Lax;Medium;False;Secure;443
https://twitter.com;g_state;"{""i_l"":0,""i_ll"":1771701561694,""i_b"":""olf7x34RoJdYpokIyl5qzvyoqMep2KAs5Zmg9Gg0w7c"",""i_e"":{""enable_itp_optimization"":0}}";x.com;/;1787253561;125;False;False;False;;Medium;False;Secure;443
https://twitter.com;__cf_bm;5SZ4l5r0IWyKUZuOgZ0ehE1Bj7DD4wWdBG54Mfd3FfI-1771701562.4282641-1.0.1.1-oLXZjcKHTqYnc3uB4zsylkjgq6KKd9B7GJ8_Zbnr4Zr7lEBYD.xcffAAQsV3hkqxW.c8VC9SZqCGZVogX462ZVf8LSKDmmK.iifmYdo_eTRUHLp7z.FR1AoIV0D7gaWq;.x.com;/;1771703361.738954;206;True;True;False;;Medium;False;Secure;443
